"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"44","RT @ErkanAYAN2013: #Future of #VR #AR &amp; #MR (#MixedReality) by @MikeQuindazzi
#BigData
#Cloud
#AI
#wearables
#DataScience
#machinelearning…",FALSE,0,NA,2017-08-05 04:02:35,FALSE,NA,"893683629527887872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","muta_owen",14,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/858696517854666752/yYbyTJE3_normal.jpg"
"45","Hey did you know I was born at Studio Bas Sala ? They love Big Data too ! #BigData #StudioBasSala",FALSE,0,NA,2017-08-05 04:02:28,FALSE,NA,"893683597613445120",NA,"<a href=""https://www.thingspeak.com/apps/thingtweet"" rel=""nofollow"">ThingTweet</a>","BigDataF1",0,FALSE,FALSE,NA,NA,"Rotterdam, The Netherlands","en","http://pbs.twimg.com/profile_images/784684662543310848/QuXmXl_9_normal.jpg"
"46","You want to explore R in #SQLServer 2016, but you don't know where to start? #sql #bigdata #DataScience #datamining https://t.co/RTxUJ4bAnK",FALSE,0,NA,2017-08-05 04:02:16,FALSE,NA,"893683547361472513",NA,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","SavranWeb",0,FALSE,FALSE,NA,NA,"USA","en","http://pbs.twimg.com/profile_images/557158565840834560/MpeDMG5B_normal.jpeg"
"47","Explore @lenovo's new #server lineup &amp; its revamped #datacenter strategy #BlockChain #IoT #BigData #Cloud… https://t.co/k3R8zPI0EO",FALSE,0,NA,2017-08-05 04:02:12,TRUE,NA,"893683533423624192",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","CDWGWAGov",0,FALSE,FALSE,NA,NA,"Bellevue, WA","en","http://pbs.twimg.com/profile_images/828820308857466880/z7HQrG-6_normal.jpg"
"48","RT @KirkDBorne: The Analytics/#DataScience/#BigData industry in India is ~$2B annually — 10 Things IT Professionals Need To Know: https://t…",FALSE,0,NA,2017-08-05 04:02:09,FALSE,NA,"893683519192354817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_AbidHasan_",8,TRUE,FALSE,NA,NA,"Gurgaon, India","en","http://pbs.twimg.com/profile_images/768413261/locked_normal.jpg"
"49","RT @ErkanAYAN2013: What is #industry40?

#CyberSecurity #robots #Bigdata #IoT #IIoT #AR #VR #CloudComputing #AI #ML #MachineLearning #M2M #…",FALSE,0,NA,2017-08-05 04:02:02,FALSE,NA,"893683491862433792",NA,"<a href=""http://a.ab"" rel=""nofollow"">APP 4 TWOOLS @MachinesLearnIT</a>","MachinesLearnIT",13,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/868101574010085376/v3u1Pp-v_normal.jpg"
"50","RT @KirkDBorne: #BigData Analytics Underpins Every #Healthcare Trend: https://t.co/phnqwp7TKr #HealthTech #DataScience #MachineLearning #Pr…",FALSE,0,NA,2017-08-05 04:02:01,FALSE,NA,"893683487273869313",NA,"<a href=""http://a.ab"" rel=""nofollow"">APP 4 TWOOLS @MachinesLearnIT</a>","MachinesLearnIT",5,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/868101574010085376/v3u1Pp-v_normal.jpg"
"51","RT @ErkanAYAN2013: #Future of #VR #AR &amp; #MR (#MixedReality) by @MikeQuindazzi
#BigData
#Cloud
#AI
#wearables
#DataScience
#machinelearning…",FALSE,0,NA,2017-08-05 04:01:54,FALSE,NA,"893683455669809153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MikeQuindazzi",14,TRUE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/710972032813404163/6IrFzK6c_normal.jpg"
"52","RT @Absolutdata: An investment in data analytics technology is a necessity to push up the decision quality https://t.co/WH01WpB6kS #Bigdata",FALSE,0,NA,2017-08-05 04:01:51,FALSE,NA,"893683445616054273",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Mx3Metrics",1,TRUE,FALSE,NA,NA,"Calgary, AB","en","http://pbs.twimg.com/profile_images/378800000452134328/c9c35903d9894bd7742dec271fc689fe_normal.png"
"53","5 Steps to Uncover Hidden Business Insight : https://t.co/uEir5GCvaO #BI #IoT #BigData",FALSE,0,NA,2017-08-05 04:01:39,FALSE,NA,"893683394315513856",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","Sean_McGauley",0,FALSE,FALSE,NA,NA,"Douglas, MA","en","http://pbs.twimg.com/profile_images/804422883388755968/gMKSkmmo_normal.jpg"
